fname,summary
test_36,Simon은 내일 핵무기 확산을 막는 데 도움을 주는 평화로운 시위에 참여할 예정이다. Cleo는 시위가 복잡하고 무의미하다고 생각하여 참여하지 않기로 했다.
test_37,"#Person1#은 #Person2#가 잘못된 판단을 했다고 비난하지만, #Person2#는 상황이 그렇게 간단하지 않다고 주장합니다."
test_38,"Mark는 Maggie에게 역사 노트를 빌려달라고 요청한다. 그는 저녁에 슈퍼마켓에서 근무하여 수업 중 졸음을 느끼기 때문이다. Maggie는 Mark에게 스터디 파트너가 되자고 제안하고, Mark는 이에 동의한다."
test_39,"#Person2#는 Turner 교수님에게 지질학 고급 과목에 등록할 수 있는지 문의합니다. Turner 교수님은 #Person2#에게 Burman 교수님께 여쭤보고, 준비가 되었다고 하면 등록을 허락하겠다고 합니다."
test_40,#Person1#이 #Person2#의 가게에서 구매한 펜던트가 깨졌습니다. #Person2#는 영수증을 가지고 오면 새 것으로 교환해 주겠다고 했습니다.
test_41,"#Person1#은 박싱 데이 세일을 위해 옷을 고르고 있지만, #Person2#는 게임을 보고 싶어합니다. #Person2#는 #Person1#에게 빨리 끝내달라고 요청하지만, #Person1#은 #Person2#의 게임을 비난합니다. #Person2#는 화가 나서 #Person1#에게 옷을"
test_42,"#Person2#는 #Person1#에게 미디어 업계에서 일하고 싶다고 말합니다. #Person1#은 몇 가지 직업을 제안하지만, #Person2#는 인터랙티브 미디어와 관련된 일을 선호합니다."
test_43,"#Person2#는 지루함을 느끼고 음악을 듣고 싶어 하지만, #Person1#은 #Person2#에게 신문을 읽거나 만화를 보라고 제안합니다."
test_44,#Person1#은 사라에게 도시 중심에서 멀리 떨어진 곳에 집을 사면 돈을 절약할 수 있다고 제안합니다. #Person1#은 시누이와 그녀의 남편이 그렇게 했고 만족하고 있다고 설명합니다.
test_45,"#Person1#은 런던에서 정보 담당관으로 일하는 Mark Leach를 소개합니다. Mark는 #Person1#에게 그의 업무에 대해 설명하며, 영국을 방문하는 사람들에게 가능한 한 많은 것을 보라고 제안합니다."
test_46,"Lin Fang과 Lucy는 좋아하는 과목에 대해 이야기한다. Lucy는 영어와 체육을 좋아하고, Lin Fang은 중국어와 과학을 좋아한다."
test_47,"James는 Mrs. Thomas의 집안일을 도와주고, 그녀의 개를 산책시켜 줍니다. Mrs. Thomas는 James의 도움에 감사하며, James는 자전거를 사기 위해 돈을 모으고 있습니다."
test_48,#Person1#과 #Person2#는 봄이 왔지만 밤에는 여전히 춥다고 이야기합니다.
test_49,"#Person1#은 Mike에게 그녀가 더 이상 자신을 보고 싶지 않다고 말하는 장면에서 그의 캐릭터가 화를 내야 한다고 지시합니다. Mike는 캐릭터의 반응이 화와 슬픔이 동시에 있어야 한다고 생각하지만, #Person1#은 대부분의 남자들이 반응할 법한 방식으로 캐릭터가"
test_50,#Person1#은 #Person2#의 택시를 타고 프렌드쉽 호텔로 빠르게 이동합니다.
test_51,"#Person1#은 버스를 탈 잔돈이 없어 #Person2#에게 빌리려 하지만, #Person2#도 돈이 없다. 그래서 #Person2#는 #Person1#에게 버스 기사에게 환승권을 요청하라고 조언한다."
test_52,#Person2#는 #Person1#에게 동네의 유명한 기업들과 회사 건물에 대해 설명합니다.
test_53,#Person1#은 #Person2#에게 Lulu가 Vic과 헤어졌고 전근 신청을 했다고 전합니다.
test_54,"데이브 톰슨이 샐리에게 전화하여 짐과 짐을 바꾸고 싶어 하지만, 샐리는 짐이 돌아오지 않았다고 말합니다."
test_55,#Person2#가 #Person1#에게 시청으로 가는 길을 자세히 설명합니다.
test_56,#Person1#은 여권을 잃어버리고 #Person2#에게 도움을 요청합니다. #Person2#는 신발 코너에 여권이 있는지 확인하지만 찾지 못합니다. #Person2#는 #Person1#에게 분실물 보고서를 작성하고 대사관에 연락해 새 여권을 발급받도록 조언합니다.
test_57,"Leah는 Nathaniel에게 Ms. Collins가 다음 주까지 전화를 드릴 수 없다고 알립니다. Nathaniel은 Ms. Fonda와 이야기하고 싶어 하고, Leah는 오늘 오전 11시 30분에 약속을 잡습니다."
test_58,#Person1#과 #Person2#는 Sarah가 Dick에게만 결혼하겠다고 하여 놀랐습니다.
test_59,"#Person1#과 #Person2#는 파티에서 즐거운 시간을 보내고 있습니다. #Person2#는 금발 여자에게 관심이 있지만, 다른 남자 다섯 명도 그녀를 쳐다보고 있습니다. #Person1#은 #Person2#에게 용기를 내라고 격려합니다."
test_60,"#Person1#은 Jack에게 이번 학기 수업에 대해 묻고, Jack은 정치학과 비즈니스 커뮤니케이션 수업을 좋아한다고 답합니다."
test_61,"#Person1#과 #Person2#는 베이징의 날씨에 대해 이야기합니다. #Person2#는 어젯밤 폭풍우가 쳤고, 오늘도 비가 올 수 있다고 말합니다. 베이징의 여름은 더우며, 봄은 따뜻하고 짧고, 겨울은 춥습니다. #Person2#는 #Person1#에게 옷을"
test_62,"#Person1#이 #Person2#에게 영화 보러 가자고 제안하지만, #Person2#는 공포, 탐정, 코미디, 멜로 영화를 좋아하지 않습니다. 결국 #Person2#는 전쟁 영화를 보자고 제안합니다."
test_63,"#Person1#은 Adam에게 학교를 안내받으며, Adam의 학교에 다니고 싶어 한다."
test_64,#Person1#이 #Person2#에게 자신이 임신했다고 알립니다.
test_65,#Person1#과 #Person2#는 John이 그녀에게 빠진 것 같다고 이야기합니다.
test_66,#Person1#은 #Person2#에게 소프트웨어에 그림 그리기 프로그램을 추가하고 하드웨어를 업그레이드할 것을 제안합니다.
test_67,"#Person2#는 #Person1#에게 크렌쇼와 호손, 홀리데이 인 그 코너에 있는 곳으로 가고 있다고 말합니다. #Person2#는 멕시코 출신이며, #Person1#은 미국 출신입니다."
test_68,"#Person1#은 체중 감량에 어려움을 겪고 있으며, #Person2#는 운동 수업에 참여할 것을 제안합니다."
test_69,James는 여덟 명을 위한 예약을 했으나 방이 준비되지 않아 기다리기로 했습니다.
test_70,"#Person2#는 #Person1#에게 공장의 규모, 설립 연도, 직원 수에 대해 설명하고, 생산 현장을 안내합니다."
test_71,"#Person1#은 Rebecca에게 대학 졸업 후 첫 직장에 대해 묻습니다. Rebecca는 York Herald에서 인턴으로 시작했고, 주니어 로컬 뉴스 리포터로 승진했습니다. 이후 런던으로 이사하면서 런던 주간지로 옮겼습니다."
test_72,"#Person1#과 #Person2#는 조별 발표를 위해 포스터를 준비하기 위해 문구점에 갑니다. 그들은 쇼핑 리스트를 작성하고, #Person1#은 #Person2#에게 물건을 찾는 방법을 알려줍니다."
test_73,Mary는 매일 인력시장에 가며 에너지를 소비하고 있다. #Person1#은 그녀에게 온라인으로 취직 지원할 것을 제안하며 방법을 설명한다.
test_74,#Person2#는 쇼핑을 위해 한 달에 300달러로 예산을 짜고 있습니다.
test_75,Jane은 병원에 있는 Susan을 방문하려고 합니다. Henry는 Jane에게 13번 버스를 타고 가라고 조언합니다.
test_76,#Person1#은 #Person2#의 스프레드시트를 사용하는 데 어려움을 겪고 있습니다. 그들은 다음 주 화요일 오후 2시 30분에 #Person2#의 사무실에서 만날 예정입니다.
test_77,#Person2#는 #Person1#에게 '뉴욕에서의 친구'라는 개인 관광 안내 서비스를 추천합니다.
test_78,#Person2#는 #Person1#의 회사가 이 분야에서 가장 크고 좋은 회사 중 하나라고 생각합니다. #Person2#는 영업부에서 일하고 싶어합니다. #Person1#은 #Person2#에게 시작 월급과 복리후생에 대해 설명합니다.
test_79,"#Person1#은 계약서에 서명하러 왔으나, #Person2#는 계약서가 아직 준비되지 않았다고 말합니다. #Person2#는 #Person1#에게 초안을 검토해 달라고 요청합니다."
test_80,#Person1#이 ABC 렌터카에 전화하여 교통사고를 알리고 구급차와 경찰을 요청합니다.
test_81,#Person2#가 #Person1#에게 학교 보건실로 가는 길을 안내합니다.
test_82,#Person2#는 짐 엘리베이터 소음 때문에 방을 바꾸고 싶어합니다. #Person1#은 사과하고 내일 방을 바꿔주겠다고 약속합니다.
test_83,"#Person1#은 #Person2#를 베이징 호텔로 데려가며, Mr. Wu가 #Person2#를 위한 연회에 초대하고 싶어 한다고 전합니다. #Person2#는 감사의 뜻을 표합니다."
test_84,#Person1#이 길을 잃고 #Person2#에게 현재 위치와 유이창으로 가는 방법을 묻습니다.
test_85,"#Person2#의 컴퓨터가 작동하지 않아 #Person1#에게 도움을 요청하지만, #Person1#은 수리공에게 연락할 것을 제안합니다."
test_86,#Person2#는 어머니의 생신 선물로 시계를 찾고 있습니다. #Person1#이 추천한 금색 시계를 #Person2#가 구매합니다.
test_87,". 
#Person1#: 네, 그렇게 하겠습니다. 
#Person2#: 발표가 끝나면 참석자들을 위한 음료와 스낵을 준비해 주세요. 
#




Ms. Ross와 Mr. Fisher는 10월 24일 토요일 오전 11시부터 12시 30분까지 뉴질랜드 지점 개설을 위한 발표"
test_88,"#Person2#는 #Person1#에게 러시아와 캐나다의 차이점에 대해 이야기합니다. 러시아에서는 모든 것이 빠르게 진행되지만, 공공 서비스는 느리다고 합니다. 반면 캐나다는 정부가 문제를 해결하고 새로운 기술을 활용하여 비즈니스를 운영합니다."
test_89,"#Person2#는 카리브해로 여행을 계획하고 있으며, #Person1#은 그곳의 날씨가 가끔 좋지 않다고 말합니다."
test_90,#Person2#는 #Person1#에게 소풍에 포도를 가져가라고 제안합니다.
test_91,"#Person2#는 #Person1#에게 경제형 차량의 렌트 비용을 안내하고, 운전면허증을 확인한 후 렌트 절차를 진행합니다."
test_92,#Person1#과 #Person2#는 사람들이 언제 웃어야 하는지에 대해 서로 다른 의견을 가지고 있다.
test_93,#Person1#과 #Person2#는 작년 판매 실적에 대해 이야기합니다. 그들은 Wallace가 사장이 된 이후로 회사의 성과가 좋아졌다고 생각합니다.
test_94,"#Person2#는 어제 택시에 가방을 두고 내려 가방을 잃어버렸습니다. #Person2#는 #Person1#에게 돈을 빌리고, #Person1#은 #Person2#를 집까지 데려다주기로 합니다."
test_95,"Lin은 Steven에게 베이징에서의 식사에 대해 감사하며, 중국에서는 팁을 주지 않는다고 설명한다."
test_96,빌은 룸메이트와 헤어져 이사를 했다. 그는 #Person1#에게 룸메이트의 외모를 묘사한다.
test_97,"#Person2#가 Tom Wilson의 체크아웃을 도와주며, Tom은 신용카드로 결제합니다."
test_98,"캐롤이 수잔에게 파티 시간과 장소를 묻기 위해 전화를 했고, 수잔은 카롤라이트에게 내일 밤 8시 반에 질의 집에서 열린다고 전해달라고 요청했습니다."
test_99,"#Person1#은 #Person2#를 어디선가 본 적이 있다고 생각하지만, #Person2#는 부정합니다. #Person1#은 여러 곳에서 #Person2#를 본 적이 있다고 추측하지만, #Person2#는 계속해서 부정합니다."
test_100,"#Person2#는 트럼프를 지지하며 그가 미국을 다시 위대하게 만들 것이라고 믿지만, #Person1#는 트럼프가 적합하지 않다고 생각하여 바이든을 지지합니다."
test_101,#Person2#가 #Person1#에게 ATM 사용 방법을 설명합니다.
test_102,"수잔 밀러가 John에게 사무실 절차에 관한 메모의 위치를 묻지만, John은 기억하지 못한다."
test_103,#Person1#이 Lily에게 주말에 소풍을 가자고 제안합니다.
test_104,#Person2#는 #Person1#에게 중국에서 식사하는 것이 독특한 경험이라고 말합니다. #Person1#은 #Person2#에게 젓가락을 밥그릇에 꽂지 말라고 상기시킵니다.
test_105,"Frank와 Mary는 둘 다 영화를 좋아한다. Frank는 코미디, SF, 스릴러를 즐기고, Mary는 예술 영화와 스릴러를 좋아한다. Mary는 동네에 있는 영화 대여점인 Movie Salon에서 영화를 대여해 보며, Frank도 그곳에 가입할 계획이다."
test_106,#Person2#는 환경 문제에 관심이 많아 녹색당에 가입할지도 모른다고 #Person1#에게 말합니다. #Person2#는 작은 정치 단체와 압력 단체가 큰 정당에 영향을 미칠 수 있다고 생각합니다.
test_107,"#Person1#은 Wilson 씨에게 상품 문제로 사과하고, 기준에 미치지 못하는 상품을 교환하겠다고 약속합니다."
test_108,#Person2#는 강도 사건 목격자로서 #Person1#에게 강도의 외모와 행동에 대해 설명합니다.
test_109,#Person2#는 #Person1#에게 부모님이 외식하러 가셔서 저녁을 각자 해결해야 한다고 말합니다.
test_110,"#Person1#은 새해 결심으로 다이어트를 하기로 했지만, #Person2#는 #Person1#의 결심을 의심한다."
test_111,"Karen Huang은 Comp Lit 287 수업에 등록하려고 했으나 이미 만원이었습니다. #Person1#은 대기자 명단에 올릴 수 있다고 했고, Karen이 비교문학 전공임을 알게 되어 특별 코드를 제공하여 수업에 등록할 수 있도록 도와주었습니다."
test_112,"#Person1#이 #Person2#에게 시간을 묻고, 비가 많이 와서 #Person2#가 우산을 함께 쓰자고 제안합니다."
test_113,Jack은 고물차를 치우고 새 차를 구입했습니다. Daisy는 Jack의 새 차를 타보고 그 성능을 칭찬합니다.
test_114,#Person2#는 #Person1#에게 큰불이 대략 10시에 났다고 말합니다.
test_115,"#Person1#은 #Person2#의 계산을 도와주고, #Person2#는 남편의 신용카드로 결제합니다."
test_116,"#Person1#은 #Person2#에게 일반 세차 패키지의 세부 사항을 설명하고, #Person2#는 이를 선택합니다."
test_117,"#Person1#은 해리에게 올해 어디로 휴가를 갈지 묻습니다. 해리는 아내가 이집트에 가고 싶어 하지만, 강아지와 집을 누가 돌볼지 걱정하고 있습니다."
test_118,"�라서 걱정이에요.
#Person2#: 걱정 마세요. 나머지 7개 기계에 대한 적절한 설정은 나중에 정해도 늦지 않아요. 처음에는 너무 많은 기계를 사용하지 마세요.
##Person1#은 Johnson에게 기계 사용 방법을 물어보고, Johnson은 #Person1#에게 운동 카드를 제시하며 각 기계에 적합한"
test_119,"#Person1#과 #Person2#는 실직 상태이며, #Person2#는 #Person1#에게 전기 기술자 프로그램에 지원할 것을 제안합니다."
test_120,"#Person1#은 #Person2#에게 강아지에게 밥을 주고, 목욕시키며, 토요일에 수의사 예약을 잊지 말라고 요청합니다."
test_121,#Person1#은 집주인에게 빚을 갚기 위해 에이든에게 돈을 빌리려고 한다. 에이든은 돈이 빠듯하지만 20달러를 빌려주기로 한다. #Person1#은 에이든을 저녁 식사에 초대한다.
test_122,#Person2#는 #Person1#에게 자선 단체에서 일한 경험과 그것이 #Person2#의 사고방식에 미친 영향에 대해 이야기합니다.
test_123,"#Person1#은 #Person2#에게 전화나 이메일로 연락할 수 있으며, 결과는 약 일주일 후에 알 수 있다고 설명합니다."
test_124,#Person2#는 #Person1#에게 모우탄과 베이징 오리를 추천합니다.
test_125,"Angela는 Dan에게 친구의 결혼식에 함께 가자고 초대한다. Dan은 이미 선물을 준비했고, Angela는 Megan도 초대하고 싶어 한다."
test_126,#Person1#과 #Person2#는 디저트를 먹고 있다. #Person2#는 전통 그리스 요거트를 먹고 #Person1#은 이탈리아 티라미수를 먹는다. #Person2#는 티라미수를 좋아하고 #Person1#은 튀긴 바나나를 먹기로 한다.
test_127,"Smith 씨는 예일 대학교 경제학 졸업생으로, 은행에서 5년간 근무하며 주당 500달러를 받았습니다."
test_128,"#Person2#는 #Person1#에게 디지털 바비 인형을 추천하고, #Person1#은 현금으로 구매합니다."
test_129,#Person1#은 #Person2#가 조던 운동화를 구매하는 것을 도와주고 있습니다.
test_130,#Person1#이 길을 잃고 #Person2#에게 도움을 요청합니다. #Person2#는 #Person1#에게 티켓 기계 사용 방법과 과학박물관으로 가는 방법을 안내합니다.
test_131,"사이먼은 은퇴 후 가족과 시간을 보내며 여행을 즐기고 있습니다. 그는 '단계적 은퇴'라는 제도에 참여하여 6개월 동안 휴식을 취한 후 이전 회사에서 프로젝트 업무를 지원하고 있습니다. 사이먼은 다양한 업무를 선택할 수 있으며, 회사도 유연성을 얻을 수 있습니다."
test_132,"#Person1#은 #Person2#에게 파티에서 여자와 춤을 추라고 권유하지만, #Person2#는 집에서 요리와 청소를 해주는 여자를 선호합니다. #Person1#은 #Person2#가 집안일을 하지 않아서 결혼하지 못할 것이라고 생각합니다. #Person1#은 외향적이고 다정한 여자를 좋아하지만,"
test_133,#Person1#과 #Person2#는 어젯밤 폭풍에 대해 이야기합니다. #Person2#는 폭풍을 싫어하지만 #Person1#은 불평할 필요가 없다고 생각합니다.
test_134,"#Person1#은 #Person2#에게 TV를 같이 보자고 제안하지만, #Person2#는 TV가 지루하다고 생각합니다. #Person2#는 대신 음악을 함께 하자고 제안합니다."
test_135,Ben은 새 학교에 가는 것에 대해 긴장하고 있다. #Person1#은 그를 위로하며 수업 일정에 대해 설명한다.
test_136,#Person1#은 Adam에게 오늘 무릎이 나아졌는지 묻습니다. Adam은 토요일까지 괜찮을 것이라고 답합니다. #Person1#은 Adam에게 오늘 연습을 쉬고 미시간의 최근 경기 영상을 보라고 제안합니다.
test_137,#Person1#의 프린터가 고장 나서 #Person2#에게 프린팅을 부탁합니다.
test_138,#Person2#가 #Person1#이 커튼을 설치하는 것을 도와줍니다.
test_139,#Person1#은 Jack에게 주말 캠핑 일정을 확인해 달라고 요청합니다.
test_140,"#Person1#과 #Person2#는 서로를 용서하고, #Person1#은 #Person2#에게 임신 사실을 알립니다. #Person3#은 #Person1#이 임신했다고 확인하지만, #Person2#는 아이가 자신의 것이 아닐 수 있다고 의심합니다."
test_141,#Person2#는 딸이 대학에 대해 결정을 내리지 못해 걱정하고 있습니다. #Person1#은 #Person2#에게 딸이 스스로 결정할 수 있도록 격려하라고 조언합니다.
test_142,#Person1#은 실수로 인해 일자리를 잃을까 봐 걱정하고 있습니다. #Person2#는 #Person1#에게 일자리를 잃더라도 자신과 함께 살면 돈을 절약할 수 있다고 조언합니다.
test_143,"#Person2#는 #Person1#에게 영국에서 온 친구가 #Person2#의 집에서 머물며, #Person2#의 실험실에서 멀티모달 텍스트 생성에 관한 강연을 할 예정이라고 말합니다."
test_144,"#Person1#이 #Person2#에게 John네 집에 가자고 제안했지만, #Person2#는 감기 증상이 있어 거절한다."
test_145,Mr. Faber는 요크 호텔에 전화하여 3박 동안 더블 룸을 예약합니다.
test_146,"#Person2#는 #Person1#에게 웨스트 더비를 추천하지만, #Person1#은 플랫을 원합니다. #Person2#는 #Person1#에게 남쪽 더비에 있는 친구 John Godfrey의 전화번호를 알려줍니다."
test_147,#Person1#과 #Person2#는 서로에게 상황의 책임을 돌리고 있습니다.
test_148,"Darlene은 9월 10일에 100대 컴퓨터 주문 건의 지연을 확인하기 위해 Dan에게 전화했습니다. Dan은 인력 부족으로 인해 18일까지 컴퓨터를 받을 수 있다고 설명했고, Darlene은 Steve에게 전화할 예정입니다."
test_149,"#Person2#는 #Person1#에게 워싱턴 포스트, 뉴욕 타임스, 로스앤젤레스 타임스의 창간 연도와 창간자에 대해 설명합니다."
test_150,"#Person2#는 컴퓨터에 바이러스가 들어와 이메일을 보내지 못한다고 생각했지만, #Person1#은 첨부 파일이 너무 커서 용량을 초과했기 때문이라고 설명합니다."
test_151,#Person2#는 #Person1#이 주말에 초대해 준 것에 대해 감사 인사를 전합니다.
test_152,#Person1#은 무엇을 먹을지 고민하다가 #Person2#의 추천으로 Panda Express에서 중국 음식을 먹기로 결정한다.
test_153,"메리가 톰에게 영업직 제안을 거절한 이유를 설명하고, 톰은 기회를 요청합니다."
test_154,#Person1#은 #Person2#가 여러 번 전화를 걸자 경고합니다.
test_155,"한 곡이 있나요?
system


#Person1#은 #Person2#와의 인터뷰를 통해 #Person2#가 음악 교사가 되고 싶은 이유, 좋아하는 음악 장르, 클래식 음악을 어떻게 알게 되었는지, 그리고 학생들이 클래식 음악을 더 들어야 한다고 생각하는 이유에 대해 알아봅니다."
test_156,"#Person2#는 #Person1#에게 같은 건물에 사는 여자에게 반했다고 말합니다. 그녀는 아직 솔로이며, #Person2#는 곧 그녀를 저녁 식사에 초대할 계획입니다."
test_157,"#Person1#은 Mirella가 계속 청바지와 스웨트셔츠를 입고 출근하는 것에 대해 불만을 제기한다. #Person2#는 그녀가 서부 해안 스타일에 영향을 받았다고 생각하지만, #Person1#은 그것이 이상하다고 여긴다. #Person2#는 관리팀이 Mirella에게 새 하얀 �"
test_158,#Person2#는 자신의 법률 사무소를 열 계획입니다. #Person1#은 #Person2#의 새로운 사업에 성공을 기원합니다.
test_159,Peter는 Kate에게 어젯밤 온라인에 있었고 지금은 쉬어야 한다고 말합니다.
test_160,"#Person1#과 #Person2#는 배와 보트가 교통수단으로서 점점 덜 중요해지고 있지만, 대양을 건너는 화물 운송에는 여전히 주로 사용된다고 논의합니다."
test_161,Fanny는 어젯밤 악몽을 꾼 후 어머니에게 깨워졌다. 그녀는 미시간 대학교에 들어가는 것에 대해 걱정하고 있다.
test_162,"#Person1#과 #Person2#는 함께 밴드를 시작할 예정이며, #Person1#은 Vanilla Ice의 노래를 추천합니다."
test_163,#Person1#과 #Person2#는 뉴올리언스에서 이미 클럽과 강변 유람선 투어를 다녀왔습니다. 그들은 오늘 밤 극장에 가기로 결정합니다.
test_164,#Person1#은 #Person2#의 도움으로 옷을 구매하고 신용카드로 결제합니다.
test_165,#Person1#은 Blake씨에게 Foster씨가 교육 매뉴얼을 요청했다고 전합니다. Blake씨는 내일 오후에 사무실에 놓고 가겠다고 합니다.
test_166,#Person2#는 이번 금요일에 롱아일랜드를 출발하여 형의 마흔 번째 생일을 축하하기 위해 솔트레이크시티로 여행을 계획하고 있습니다. #Person1#은 그것이 좋은 휴가가 될 것이라고 생각합니다.
test_167,"#Person2#는 #Person1#에게 비행기에 탑승하라고 재촉합니다. #Person1#은 #Person2#에게 파멜라를 돌봐달라고 부탁하며, #Person2#가 그의 유일한 진정한 친구라고 생각합니다."
test_168,#Person2#는 #Person1#에게 77번 도로로 가기 위해 12번 버스를 타라고 안내합니다.
test_169,"#Person2#는 이슬람에 관한 프로그램을 보고 있으며, #Person1#에게 메카로 성지순례를 가는 무슬림들에 대해 설명합니다. #Person1#은 다른 종교의 순례에 대해 언급하며, #Person2#는 사람들이 믿음으로 인해 치유된다고 생각합니다."
test_170,#Person2#가 #Person1#에게 중앙 백화점과 국가 은행으로 가는 길을 안내합니다.
test_171,"#Person1#과 #Person2#는 런던에 가는 교통수단에 대해 논의합니다. #Person1#은 기차를 선호하고, #Person2#는 자동차를 선호합니다. #Person2#는 고속버스를 제안합니다."
