fname,summary
test_22,#Person1#은 스테이크가 너무 잘 익었고 질겨서 #Person2#에게 교환을 요청합니다.
test_23,#Person1#이 Tom에게 그의 소설이 노벨상을 받았다는 소식을 전합니다. Tom은 이 소식을 믿기 어려워합니다.
test_24,#Person2#는 #Person1#에게 자신의 전공과 이전 직장 경험을 설명합니다.
test_25,#Person2#는 일주일에 두세 번 술을 마시며 보통 밤새 마신다고 말합니다. #Person1#은 나갈 때만 술을 마시며 보통 맥주 두 잔을 마십니다. #Person2#는 #Person1#에게 적응하라고 조언하며 내일 밤에 함께 술을 마시자고 제안합니다.
test_26,"#Person1#은 메이에게 소풍 준비를 도와달라고 요청합니다. 메이는 소시지, 토스트, 치킨 윙, 과일 샐러드, 크래커, 냅킨, 일회용 접시, 컵, 소풍용 담요를 준비합니다."
test_27,James와 Muriel Douglas는 새 계정에 대해 논의하기 위해 만납니다. 그들은 서로의 휴일 경험을 공유합니다.
test_28,"#Person1#은 ATM에서 돈을 인출하려고 했으나, 10000달러를 세계 야생동물 재단으로 이체하게 되어 화가 났습니다."
test_29,"#Person2#는 #Person1#에게 자신이 친구들과 어울리는 것을 좋아하며, 직장 동료들과 대화할 때 진심을 전하는 것이 중요하다고 말합니다."
test_30,"Mr. Polly는 #Person1#에게 음료수를 사달라고 부탁하지만, #Person1#의 상사가 가게에 있어서 직접 가게에 가기로 합니다."
test_31,모니카는 금요일 오후 1시부터 4시까지 프랜시스와 재무 보고서를 검토할 예정입니다.
test_32,#Person1#과 #Person2#는 인터뷰 워크숍에 참가하여 인터뷰 준비에 대해 논의합니다.
test_33,#Person1#은 #Person2#에게 감정 표현이 잘못되었다고 지적하며 처음부터 다시 연기해 보라고 요청합니다. #Person1#은 #Person2#의 연기가 남자들이 일반적으로 반응하는 방식과 일치할 것이라고 생각합니다.
test_34,#Person1#은 아내가 쇼핑을 가는 동안 Mrs. Todd에게 인사를 하러 왔습니다. Mrs. Todd는 #Person1#을 환영합니다.
test_35,빌은 이번 주에 매일 밤 열 시까지 일해서 피곤하다. 그의 형은 출장으로 미국에 있으며 몇 주 더 머물러야 한다. #Person1#은 친구를 만나기 위해 시간을 확인한다.
test_36,"Simon은 핵무기 확산을 막기 위해 시위에 참가할 계획이지만, Cleo는 시위가 무의미하다고 생각한다. Simon은 시위가 평화롭게 진행될 것이라며 설득하려 하지만, Cleo는 시위에 참여하지 않기로 한다."
test_37,"#Person1#은 #Person2#가 잘못을 저질렀다고 생각하지만, #Person2#는 그 상황이 정당하다고 주장합니다."
test_38,"Mark는 슈퍼마켓에서 일하는 바람에 수업 중 졸려서 Maggie의 노트를 빌린다. Maggie는 함께 공부하자고 제안하고, Mark는 이에 동의한다."
test_39,#Person2#는 Turner 교수님에게 지질학 고급 과목에 등록할 수 있는지 문의합니다. Turner 교수님은 #Person2#가 충분히 준비되었는지 확인하기 위해 Burman 교수님에게 문의할 것입니다.
test_40,#Person1#은 #Person2#의 가게에서 구입한 펜던트가 깨져서 교환을 요청합니다. #Person2#는 영수증을 가지고 오면 새 펜던트로 교환해 주겠다고 합니다.
test_41,"#Person1#은 박싱 데이 세일에 가기 전에 선물 교환 계획을 논의하려 하지만, #Person2#는 축구 경기를 보느라 관심을 보이지 않는다. #Person1#은 #Person2#가 좋아하는 팀을 비난하고, #Person2#는 화가 난다."
test_42,"#Person1#은 #Person2#에게 뉴스 디렉터나 잡지 작가를 추천하지만, #Person2#는 컴퓨터와 일하는 것을 선호하여 인터랙티브 미디어를 선택합니다."
test_43,#Person1#과 #Person2#는 지루함을 느끼고 있습니다. #Person1#은 #Person2#에게 옛날 신문의 퍼즐 섹션을 읽어보라고 제안합니다.
test_44,#Person1#은 사라에게 더 저렴한 집을 찾는 방법으로 도시 중심에서 좀 떨어진 곳에 집을 사는 것을 제안합니다. #Person1#은 자신의 시누이와 그녀의 남편이 그 방법을 사용해 만족스러운 결과를 얻었다고 설명합니다.
test_45,#Person1#은 런던의 영국 관광청 관광 사무소에서 정보 담당관으로 일하는 Mark Leach를 소개합니다. Mark는 #Person1#에게 그의 팀이 해외 방문객들에게 관광 정보를 제공하는 방법을 설명합니다.
test_46,"Lin Fang과 Lucy는 좋아하는 과목에 대해 이야기한다. Lin Fang은 영어가 어렵다고 느끼지만 좋아하고, Lucy는 영어를 가장 좋아하는 과목으로 꼽는다."
test_47,"James는 Mrs. Thomas의 집을 청소하고 개 산책을 도와주기로 했습니다. Mrs. Thomas는 자녀들이 주말에 집안일을 돕는 것에 대해 감사하며, James는 농구 연습을 위해 자전거를 사려 합니다."
test_48,#Person1#과 #Person2#는 봄이 왔지만 여전히 추워서 에어컨으로 온풍을 틀어야 한다고 이야기한다.
test_49,"#Person1#은 #Person2#에게 캐릭터의 감정 표현이 잘못되었다고 지적하며, 처음부터 다시 연기해 보라고 요청합니다. #Person2#는 혼란스러워합니다."
test_50,"#Person2#는 #Person1#을 프렌드쉽 호텔로 빠르게 데려다주고, #Person1#은 요금을 지불합니다."
test_51,"#Person1#은 다른 버스를 타려 하지만 돈이 없어 #Person2#에게 잔돈을 빌리려 하지만, #Person2#도 돈이 없습니다. #Person2#는 #Person1#에게 버스 기사에게 환승권을 요청하라고 조언합니다."
test_52,"#Person2#는 #Person1#에게 그들의 회사가 6층과 7층을 사용하며, 회사 식당이 있다고 설명합니다."
test_53,#Person1#은 #Person2#에게 Lulu가 Vic과 헤어지고 전근 신청을 했다고 전합니다.
test_54,"데이브가 샐리에게 짐의 짐을 바꿔달라고 요청했으나, 짐은 페인트를 사러 갔다가 펍에 들를지도 모른다고 했습니다. 데이브는 나중에 다시 연락하기로 했습니다."
test_55,#Person2#가 #Person1#에게 시청 가는 길을 상세히 안내합니다.
test_56,"#Person1#은 여권을 잃어버려 #Person2#에게 도움을 요청합니다. #Person2#는 #Person1#에게 분실물 보고서를 작성해 달라고 하고, 새 여권을 발급받을 수 있도록 대사관에 연락하라고 조언합니다."
test_57,"Leah는 Nathaniel에게 Ms. Collins가 전화를 드릴 수 없음을 알리고, 대신 Ms. Fonda와 11시 30분에 통화하기로 약속합니다."
test_58,#Person1#과 #Person2#는 Sarah가 Dick 외에는 결혼하지 않겠다고 말한 것에 대해 놀라워한다.
test_59,#Person1#과 #Person2#는 파티에서 매력적인 여자들에 대해 이야기하고 있다. #Person2#는 Janice에게 말을 걸고 싶지만 긴장이 된다. #Person1#은 #Person2#에게 용기를 내라고 격려한다.
test_60,Jack은 #Person1#에게 정치학과 비즈니스 커뮤니케이션 수업을 좋아한다고 말합니다.
test_61,"#Person1#과 #Person2#는 베이징의 날씨에 대해 이야기한다. #Person2#는 #Person1#에게 어젯밤 베이징에 폭풍우가 쳤다고 말한다. #Person2#는 #Person1#에게 베이징의 여름은 더운 반면, 봄은 따뜻하고 짧으며, 겨울은 춥다고 설명한다."
test_62,"#Person1#은 #Person2#에게 영화를 보러 가자고 제안하지만, #Person2#는 공포, 탐정, 코미디, 로맨스 영화를 모두 싫어합니다. 결국 #Person2#는 전쟁 영화를 보러 가자고 제안합니다."
test_63,"#Person1#은 Adam에게 학교를 안내해달라고 요청합니다. #Person1#은 도서관, 고등학교 건물, 수영장에 대해 묻습니다."
test_64,#Person1#과 #Person2#는 임신 소식을 듣고 기뻐하고 있습니다.
test_65,#Person1#과 #Person2#는 John이 그녀와 일주일에 일곱 번 데이트를 하는 것에 대해 이야기하고 있습니다.
test_66,#Person1#은 #Person2#에게 소프트웨어에 그림 그리기 프로그램을 추가하고 하드웨어를 업그레이드하여 광고용 전단지와 배너를 직접 만들 수 있도록 조언합니다.
test_67,"#Person2#는 #Person1#에게 자신이 멕시코 출신이며, 중국에 출장으로 방문했다고 말합니다. #Person1#은 #Person2#가 매우 젊어 보인다고 생각합니다. #Person1#은 미국에서 태어났고 콜롬비아 출신이며 스페인어를 할 줄 압니다."
test_68,"#Person1#은 체중 증가에 대해 고민하고 있으며, #Person2#는 운동을 권장합니다."
test_69,"James는 여덟 명이 앉을 수 있는 방을 예약했으나, 레스토랑 측은 준비가 안 되어 식당 홀의 창가 자리를 제안했습니다. James는 예약한 방을 기다리겠다고 했습니다."
test_70,"#Person2#는 #Person1#에게 공장의 면적, 설립 연도, 직원 수, 그리고 공장의 운영 방식에 대해 설명합니다."
test_71,"Rebecca는 #Person1#에게 대학 졸업 후 첫 직장이 York Herald였다고 설명합니다. 그녀는 인턴으로 시작해 주니어 로컬 뉴스 리포터로 승진했으며, 2006년 남편과 함께 런던으로 이사하면서 런던에 기반을 둔 전국 신문사로 이직했습니다."
test_72,"#Person1#과 #Person2#는 조별 발표를 위해 문구점에 가기로 했습니다. #Person2#는 쇼핑 리스트를 작성하자고 제안했고, #Person1#은 마커, 색연필, 가위, 형광펜, 자, 압정, 수정액, 종이클립이 필요하다고 했습니다."
test_73,"Mary는 매일 인력시장에 가느라 피곤해 보인다. #Person1#은 인터넷을 통한 구직 방법을 제안하고, Mary는 이를 시도해볼 계획이다."
test_74,#Person2#는 #Person1#에게 쇼핑 예산으로 한 달에 300달러만 사용할 계획이라고 말합니다.
test_75,"Jane은 병원에 Susan을 방문하려고 하며, Henry는 13번 버스를 타라고 조언한다."
test_76,#Person1#과 #Person2#는 내년 판매 예측에 대해 논의하기로 했습니다. 그들은 다음 주 화요일 오후 2시 30분에 #Person2#의 사무실에서 만나기로 했습니다.
test_77,#Person2#는 #Person1#에게 '뉴욕에서의 친구'라는 개인 관광 안내 서비스를 추천합니다.
test_78,"#Person2#는 #Person1#의 회사에 대해 잘 알고 있으며, 영업부에서 일하고 싶어합니다. #Person1#은 #Person2#의 현재 연봉을 묻고, #Person2#는 복리후생과 보험에 대해 질문합니다."
test_79,"#Person1#은 계약서에 서명하러 왔으나, #Person2#는 계약서가 아직 완성되지 않았다고 설명합니다. #Person1#은 초안을 검토하고, #Person2#는 오늘 저녁에 계약서를 완성할 예정입니다."
test_80,#Person1#이 #Person2#에게 전화를 걸어 사고 상황을 설명하고 구급차와 경찰을 요청합니다.
test_81,#Person2#가 #Person1#에게 학교 보건실로 가는 길을 안내합니다.
test_82,#Person2#는 방이 시끄러워서 방을 바꾸고 싶어 합니다. #Person1#은 오늘 빈 방이 없어서 내일 방을 바꿔주기로 합니다.
test_83,"#Person1#은 #Person2#를 베이징 호텔로 데려가며, Mr. Wu가 저녁에 #Person2#를 위한 연회에 초대했다고 알립니다."
test_84,#Person1#은 길을 잃고 #Person2#에게 지도에서 자신의 위치를 묻습니다. #Person2#는 #Person1#에게 유이창으로 가는 방법을 안내합니다.
test_85,"#Person2#는 컴퓨터가 제대로 작동하지 않아 #Person1#에게 도움을 요청하지만, #Person1#은 컴퓨터에 대해 잘 알지 못합니다. 결국 #Person2#는 수리공에게 도움을 요청하기로 합니다."
test_86,"#Person2#는 어머니의 생신 선물로 시계를 고르고 있습니다. #Person1#은 금색 시계를 추천하고, #Person2#는 그 시계를 구매하기로 결정합니다."
test_87,"네, 괜찮습니다. 
#Person2#: 좋습니다. 
#Person1#: Ms. Ross, 저는 10월 24일 토요일 오전 10시부터 12시 30분까지 방, 커피, 점심 전 스낵 뷔페, 다섯 개의 테이블, 오버헤드 프로젝터와 음향 시스템을 예"
test_88,"#Person2#는 #Person1#에게 러시아에서는 모든 것이 빠르게 진행되지만, 캐나다에서는 사람들이 더 여유롭다고 설명합니다. 또한 러시아에서는 사람들이 빠르게 움직이지만 공공 서비스는 느리며, 캐나다는 정부가 문제를 해결하고 새로운 기술을 활용해 비즈니스를 더 잘 운영한다고 언급합니다."
test_89,"#Person2#는 카리브해 여행을 고려 중이지만, #Person1#은 그곳의 날씨가 좋지 않을 수 있다고 경고합니다."
test_90,#Person2#는 #Person1#에게 바나나와 포도를 소풍에 가져가라고 제안합니다.
test_91,#Person2#는 #Person1#이 경제형 차량을 렌트할 수 있도록 도와줍니다.
test_92,#Person1#과 #Person2#는 무표정한 사람들과 계속 웃는 사람들에 대해 서로 다른 의견을 가지고 있다.
test_93,"#Person1#과 #Person2#는 회사의 판매 실적에 대해 이야기하고 있습니다. 그들은 판매 기록을 경신했으며, 이는 Wallace의 리더십과 새로운 마케팅 전략의 결과라고 믿고 있습니다."
test_94,#Person2#는 #Person1#에게 가방을 잃어버려 돈이 필요하다고 말합니다. #Person1#은 #Person2#에게 50달러를 빌려주기로 합니다.
test_95,Lin은 Steven에게 중국에서 팁을 주는 것이 일반적이지 않다고 설명한다.
test_96,빌은 #Person1#에게 룸메이트와의 이별과 이사 이유를 설명한다.
test_97,#Person2#가 Tom Wilson의 체크아웃을 도와줍니다.
test_98,수잔이 캐롤에게 파티 날짜와 장소를 묻는 전화를 했으나 캐롤이 부재중이어서 #Person1#이 대신 전달했습니다.
test_99,"#Person1#은 #Person2#를 어디선가 본 적이 있다고 생각하지만, #Person2#는 #Person1#을 본 적이 없다고 부인합니다."
test_100,"#Person1#은 트럼프가 다시 대통령이 되는 것을 상상할 수 없다고 말한다. #Person2#는 트럼프를 찍었으며, 그가 미국을 다시 위대하게 만들 것이라고 믿는다. #Person1#은 바이든을 찍을 예정이다."
test_101,#Person1#은 ATM을 사용하는 방법을 몰라 #Person2#에게 도움을 요청합니다. #Person2#는 #Person1#에게 카드를 기계에 넣고 비밀번호를 입력한 후 원하는 옵션을 선택하라고 안내합니다.
test_102,"수잔 밀러가 John에게 사무실 절차 메모의 위치를 묻지만, John은 기억하지 못한다."
test_103,#Person1#이 Lily에게 이번 주말에 소풍을 함께 가자고 초대합니다.
test_104,#Person1#과 #Person2#는 중국에서의 식사와 테이블 예절에 대해 이야기합니다. #Person1#은 #Person2#에게 젓가락을 밥그릇에 꽂지 말고 가로 놓으라고 조언합니다.
test_105,"Mary와 Frank는 여가 시간에 영화를 보는 것을 좋아한다. Mary는 예술 영화와 스릴러를 선호하며, 보통 Movie Salon에서 영화를 빌린다. Frank는 다양한 장르의 영화를 좋아하며, Mary는 그곳에 가서 회원 가입을 권장한다."
test_106,#Person2#는 #Person1#에게 녹색당에 가입할 생각이 있었다고 말합니다. #Person2#는 작은 정치 단체나 압력 단체가 큰 정당에 영향을 미칠 수 있다고 생각합니다.
test_107,"#Person1#은 Wilson 씨에게 상품 문제에 대해 사과하고, 기준에 미치지 못하는 상품을 교환하기로 약속합니다."
test_108,"#Person2#는 강도 사건 당시 은행에 있었고, 총을 든 사람을 보았다고 #Person1#에게 말합니다. #Person1#은 #Person2#에게 경찰서에 와달라고 요청합니다."
test_109,#Person2#는 #Person1#에게 #Person1#의 부모님이 외식을 하러 가셨다고 말한다.
test_110,#Person1#은 새해 결심으로 다이어트를 시작하고 식습관을 바꾸겠다고 #Person2#에게 말한다. 그러나 #Person1#은 과자를 남기고 먹는다.
test_111,"Karen Huang은 비교문학 전공생으로, 필수 과목인 Comp Lit 287 수업에 등록하고 싶어 합니다. #Person1#은 수업이 만원이라고 설명하고, 특별 코드를 제공하여 Karen이 수업에 등록할 수 있도록 도와줍니다."
test_112,#Person2#가 #Person1#에게 현재 시간을 알려주고 우산을 함께 사용하자고 제안합니다. 그들은 같은 방향으로 가기로 합니다.
test_113,"Jack은 Daisy에게 자신의 새로운 차를 보여주며, Daisy는 그 차의 성능에 감탄한다."
test_114,#Person2#는 #Person1#에게 큰불이 밤 10시경에 발생했다고 설명합니다.
test_115,#Person1#은 #Person2#에게 계산대까지 안내하며 총 905위안을 요구합니다. #Person2#는 현금으로 900위안만 가지고 있어 남편의 신용카드로 결제합니다.
test_116,"#Person1#은 #Person2#에게 일반 세차 패키지의 세부 사항을 설명하고, #Person2#는 이를 선택합니다."
test_117,"#Person1#은 해리에게 휴가 계획을 묻고, 해리는 아내가 이집트에 가고 싶어 하지만, 강아지와 집, 정원을 돌봐줄 사람을 찾지 못해 확정을 못 했다고 말한다."
test_118,"#Person2#는 #Person1#에게 스트레칭과 워밍업의 중요성을 설명합니다. #Person2#는 #Person1#에게 운동 카드를 만드는 방법을 알려주고, 각 기계에 적합한 무게를 설정하는 방법을 설명합니다. #Person1#은 7개의 기계가 남아 있지만 지쳤습니다. #Person2#는 #Person1#에게 자신의 한계를 알고 중단하는 것이 중요하다고"
test_119,"#Person1#과 #Person2#는 실직 상태이며, #Person2#는 전기 기술자 프로그램에 관심을 보인다."
test_120,"#Person1#은 #Person2#에게 강아지에게 밥을 주고 목욕시키고, 토요일 오전 11시에 수의사와 약속을 잡도록 상기시킵니다."
test_121,"#Person1#은 집주인 아주머니께 빚을 갚기 위해 에이든에게 돈을 빌려달라고 요청한다. 에이든은 50달러 중 20달러를 빌려주기로 하고, #Person1#은 저녁 식사에 초대한다."
test_122,#Person2#는 자선 단체에서 일한 경험을 #Person1#에게 이야기합니다.
test_123,#Person2#는 #Person1#에게 전화나 이메일로 연락해 달라고 요청합니다.
test_124,#Person2#는 #Person1#에게 모우탄과 베이징 오리 구이를 추천합니다.
test_125,"Angela는 Dan에게 전화를 걸어 다음 주 결혼식에 함께 가자고 초대합니다. Dan은 이미 결혼 선물을 준비했고, Angela는 Megan도 초대하고 싶어합니다."
test_126,"#Person1#과 #Person2#는 디저트를 먹으며 서로의 음식을 시도해봅니다. #Person2#는 그리스 요거트를 먼저 먹고, #Person1#은 이탈리아 티라미수를 시도합니다. #Person2#는 #Person1#의 티라미수를 칭찬하고, #Person1#은 튀긴 바나나를 가져오기로 합니다."
test_127,"Smith 씨는 #Person1#에게 자신의 학력 배경, 나이, 직장 경험 및 급여에 대해 설명합니다."
test_128,#Person1#은 #Person2#의 도움으로 조카에게 줄 예쁜 선물로 디지털 바비 인형을 구매합니다.
test_129,#Person2#가 #Person1#의 도움으로 조던 운동화를 구매합니다.
test_130,#Person2#가 #Person1#에게 과학박물관으로 가는 방법을 안내합니다.
test_131,"사이먼은 은퇴 후 가족과 더 많은 시간을 보내고 여행을 했습니다. 그는 '단계적 은퇴' 제도에 참여하여 여전히 프로젝트 업무에 참여할 수 있습니다. 이 제도는 실험적으로 운영되며, 사이먼은 다양한 업무를 선택할 수 있습니다."
test_132,#Person1#은 Rocky에게 파티에서 누군가와 춤을 춘다고 권유합니다. Rocky는 다정하고 모든 필요를 채워주는 여자를 선호한다고 말합니다. #Person1#은 Rocky가 결혼에 어울리지 않을 것이라고 생각하며 완벽한 여자에 대해 이야기합니다.
test_133,"#Person1#과 #Person2#는 어젯밤 폭풍에 대해 이야기합니다. #Person2#는 폭풍을 싫어하지만, #Person1#은 3월에 날씨가 좋았다고 말합니다."
test_134,"#Person1#은 #Person2#와 함께 TV를 보며 시간을 보내고 싶어하지만, #Person2#는 TV가 지루하다고 생각합니다. 대신 #Person2#는 함께 음악을 하자고 제안합니다."
test_135,Ben은 새 학교에 가는 것에 대해 긴장하고 있다. #Person1#은 Ben에게 수업 일정에 대해 설명한다.
test_136,"#Person1#은 Adam에게 오늘은 던지는 연습만 하고 달리기는 하지 말라고 조언한다. #Person1#은 미시간의 최근 세 경기 영상을 보여줄 예정이며, Adam은 내일 다시 와서 전면 연습을 할 예정이다."
test_137,#Person1#은 #Person2#에게 프린터 고장으로 인해 프린트를 부탁합니다.
test_138,#Person2#가 #Person1#을 도와 커튼을 설치합니다.
test_139,#Person1#은 Jack에게 주말 캠핑 계획을 위해 달력을 확인해 달라고 요청합니다.
test_140,"#Person2#는 산불 진화를 위해 긴급 소집되어 #Person1#과 통화하지 못했습니다. #Person1#은 임신 사실을 알리고, #Person2#는 아기가 자신의 것이 아니라고 주장합니다."
test_141,#Person2#는 딸의 대학 결정에 대해 걱정하고 있습니다. #Person1#은 #Person2#에게 딸이 스스로 결정할 수 있도록 격려하라고 조언합니다.
test_142,#Person1#은 투자 상담사로 일하다가 실수로 회사에 손실을 줘서 해고되었습니다. #Person2#는 #Person1#에게 일자리 잃으면 어떻게 할지 계획을 세우라고 조언합니다.
test_143,"#Person2#는 #Person1#에게 에딘버러 대학의 박사과정 학생이 영국에서 도착하여 집에 머물며, 멀티모달 텍스트 생성에 관한 강연을 할 예정이라고 말합니다."
test_144,"#Person1#이 #Person2#에게 John네 집에 가자고 제안하지만, #Person2#는 감기에 걸린 것 같아 거절한다."
test_145,Mr. Faber는 요크 호텔에 전화하여 3박 동안 더블 룸을 예약합니다.
test_146,"#Person2#는 #Person1#에게 웨스트 더비를 추천하지만, #Person1#은 플랫을 원합니다. #Person2#는 남쪽 더비의 사무실에 있는 친구 John Godfrey에게 연락하라고 제안합니다."
test_147,#Person1#과 #Person2#는 교통사고의 책임을 서로 돌리고 있습니다.
test_148,"Darlene은 Dan에게 9월 10일에 주문한 100대 컴퓨터가 2일 지연되었다고 알립니다. Dan은 공장 인력 부족으로 인해 18일까지 받을 수 있다고 설명하고, Darlene에게 Steve에게 전화해 상황을 전달해 달라고 요청합니다."
test_149,"#Person2#는 #Person1#에게 워싱턴 포스트, 뉴욕 타임스, 로스앤젤레스 타임스의 창간 연도와 창간자에 대해 설명합니다."
test_150,"#Person2#의 컴퓨터에 바이러스가 들어왔다고 생각했지만, 실제로는 이메일 용량을 초과한 것이 원인이었습니다. #Person1#은 #Person2#에게 파일을 압축해서 보내라고 조언합니다."
test_151,"#Person2#는 #Person1#과 함께한 주말을 즐겼으며, #Person1#은 #Person2#를 다시 초대합니다."
test_152,"#Person1#은 중국 음식을 먹고 싶어 하고, #Person2#는 Panda Express를 추천합니다."
test_153,"메리가 톰에게 영업직 제안을 거절했음을 알리고, 톰은 기회를 다시 요청합니다."
test_154,#Person1#은 #Person2#에게 다시 이 번호로 전화하면 경찰에 신고할 것이라고 경고합니다.
test_155,"#Person1#은 #Person2#와의 인터뷰에서 #Person2#가 음악 교사가 되고 싶은 이유, 좋아하는 음악 장르, 클래식 음악을 전공하게 된 계기, 학생들에게 클래식 음악을 추천하는 이유에 대해 이야기합니다. #Person2#는 #Person1#에게 인터넷에서 클래식 음악을 찾아보라고 제안합니다."
test_156,#Person2#는 #Person1#에게 자신이 같은 건물에 사는 여자에게 반했다고 말합니다. #Person2#는 그녀에게 오늘 저녁 식사에 초대할 계획입니다.
test_157,"#Person1#은 Mirella가 계속 청바지와 스웨트셔츠를 입고 출근하는 것에 대해 불평합니다. #Person2#는 Mirella가 서부 해안 스타일에 영향을 많이 받은 것 같다고 설명합니다. #Person1#은 그게 이상하다고 생각하지만, #Person2#는 관리팀이 Mirella에게 새 하얀 드레스 �"
test_158,"#Person2#는 자신의 법률 사무소를 차리려 하고, #Person1#은 #Person2#의 새로운 사업에 성공을 기원합니다."
test_159,Peter는 어젯밤 거의 밤새 온라인에서 음악을 들었다고 Kate에게 말한다.
test_160,"#Person1#과 #Person2#는 배와 보트가 기차, 비행기, 자동차에게 교통수단으로서의 자리를 내주고 있다고 논의합니다."
test_161,Fanny는 어젯밤 악몽을 꾼 후 어머니에게 깨워졌다고 Andy에게 말한다. Fanny는 미시간 대학교에 합격하지 않을까 걱정하고 있다.
test_162,"#Person1#과 #Person2#는 밴드를 시작할 계획이며, #Person1#은 Vanilla Ice를 추천한다."
test_163,"#Person2#는 뉴올리언스 여행을 즐기고 있습니다. #Person1#은 #Person2#에게 강변 유람선 투어를 제안했지만, #Person2#는 이미 두 번 다녀왔습니다. 그래서 #Person1#은 극장에 가자고 제안하고, #Person2#는 동의합니다."
test_164,#Person1#은 #Person2#의 도움으로 신용카드로 옷을 구매합니다.
test_165,#Person1#은 Blake씨에게 Foster씨가 교육 매뉴얼을 보내달라고 요청했다고 전합니다.
test_166,"#Person2#는 #Person1#에게 휴가 동안 롱아일랜드를 출발해 솔트레이크시티로 가서 형의 마흔 번째 생일을 축하하고, 파이브 레이크 스트릿과 월 스트리트를 방문할 계획이라고 말합니다."
test_167,"#Person1#은 비행기를 타기 위해 서두르고 있으며, #Person2#에게 파멜라를 돌봐 달라고 부탁합니다. #Person1#은 #Person2#가 진정한 친구라고 생각합니다."
test_168,#Person2#가 #Person1#에게 가장 번화한 거리로 가는 방법을 안내합니다.
test_169,#Person2#는 #Person1#에게 메카로 성지순례를 가는 무슬림들에 대해 설명합니다. #Person1#은 사람들이 치유를 받기 위해 프랑스의 루르드로 간다는 이야기를 들었다고 말합니다. #Person2#는 사람들의 믿음이 그들을 치유하는 방향으로 마음을 변화시킨다고 생각합니다.
test_170,#Person2#가 #Person1#에게 중앙 백화점과 국가 은행으로 가는 길을 안내합니다.
